title,artist,weeks,peak_rank,date
Every Beat Of My Heart,Pips,10.0,6.0,1961-05-10
Every Breath I Take,Gene Pitney,3.0,82.0,1961-07-19
Every Little Thing I Do,Dion & The Belmonts,8.0,48.0,1959-09-09
Everybody Likes To Cha Cha Cha,Sam Cooke,13.0,31.0,1959-03-04
Everybody Loves A Lover,Doris Day,12.0,14.0,1958-01-01
Everybody's Somebody's Fool,Connie Francis,18.0,1.0,1960-05-04
Everyone Was There,Bob Kayli,2.0,96.0,1958-11-12
Exclusively Yours,"Carl Dobkins, Jr.",8.0,62.0,1960-05-11
Exodus,Ferrante & Teicher,21.0,2.0,1961-04-05
Fallen Angel,Webb Pierce,1.0,99.0,1960-11-16
Fallin',Connie Francis,10.0,30.0,1958-10-08
Fame And Fortune,Elvis Presley With The Jordanaires,10.0,17.0,1960-04-06
Fancy Nancy,Skip And Flip,5.0,71.0,1959-10-28
Fannie Mae,Buster Brown,17.0,38.0,1960-01-27
"Far, Far Away",Don Gibson,5.0,72.0,1960-07-27
Feel So Fine,Johnny Preston,14.0,14.0,1960-06-15
Fell In Love On Monday,Fats Domino,6.0,32.0,1961-03-15
Fever,Peggy Lee,12.0,8.0,1958-01-01
Fibbin',Patti Page,9.0,39.0,1958-09-17
Find Another Girl,Jerry Butler,10.0,27.0,1961-03-01
Finger Poppin' Time,Hank Ballard And The Midnighters,26.0,7.0,1960-05-11
Fire Of Love,Jody Reynolds,5.0,66.0,1958-08-13
Firefly,Tony Bennett,13.0,20.0,1958-09-03
First Anniversary,Cathy Carr,12.0,42.0,1959-01-21
"First Love, First Tears",Duane Eddy His Twangy Guitar And The Rebels,9.0,59.0,1959-09-23
First Name Initial,Annette With The Afterbeats,18.0,20.0,1959-10-21
First Taste Of Love,Ben E. King,7.0,53.0,1960-12-28
Five Brothers,Marty Robbins,4.0,74.0,1960-09-07
Five Feet High And Rising,Johnny Cash,3.0,76.0,1959-08-19
Flaming Star,Elvis Presley With The Jordanaires,7.0,14.0,1961-04-12
Flamingo Express,The Royaltones,3.0,82.0,1961-01-11
Flamingo L'Amore,The Gaylords,1.0,98.0,1958-11-05
Flower Of Love,The Crests featuring Johnny Mastro,6.0,79.0,1959-06-03
Fog Cutter,The Frantics,1.0,93.0,1959-09-09
Fool That I Am,Etta James,6.0,50.0,1961-06-07
Fool's Paradise,The Crickets,1.0,58.0,1958-01-01
Foolin' Around,Kay Starr,9.0,49.0,1961-03-15
Fools Hall Of Fame,Pat Boone,9.0,29.0,1959-09-09
Fools Rush In (Where Angels Fear To Tread),Brook Benton,10.0,24.0,1960-11-09
Footsteps,Steve Lawrence,13.0,7.0,1960-03-02
For A Penny,Pat Boone,11.0,23.0,1959-03-18
For Love,Lloyd Price and His Orchestra,6.0,43.0,1960-04-27
For My Baby,Brook Benton,8.0,28.0,1961-02-01
For My Good Fortune,Pat Boone,11.0,23.0,1958-09-17
For Your Love,Ed Townsend,2.0,62.0,1961-05-10
For Your Precious Love,Jerry Butler and The Impressions,5.0,15.0,1958-01-01
Forever,The Little Dippers,14.0,9.0,1960-02-10
Forget Me Not,Kalin Twins,15.0,12.0,1958-09-24
Forty Days,Ronnie Hawkins,8.0,45.0,1959-06-03
Forty Miles Of Bad Road,Duane Eddy And The Rebels,15.0,9.0,1959-06-10
Found Love,Jimmy Reed,3.0,88.0,1960-05-18
Frankie,Connie Francis,15.0,9.0,1959-05-13
Frankie And Johnny,Brook Benton,1.0,75.0,1961-07-19
"Frankie's Man, Johnny",Johnny Cash,7.0,57.0,1959-04-22
French Foreign Legion,Frank Sinatra,7.0,61.0,1959-03-25
Fried Eggs,The Intruders,3.0,73.0,1959-03-18
Fried Onions,Lord Rockingham's XI,1.0,96.0,1958-10-01
Frogg,The Brothers Four,5.0,32.0,1961-04-05
Funny,Jesse Belvin,10.0,25.0,1958-12-24
Furry Murray,The Tradewinds,2.0,91.0,1959-08-05
Gas Money,Jan & Arnie,2.0,81.0,1958-08-13
Gazachstahagen,The Wild-Cats,8.0,57.0,1958-12-31
Gee,George Hamilton IV,7.0,73.0,1959-07-29
Gee Whiz,The Innocents,11.0,28.0,1960-11-16
Gee Whiz (Look At His Eyes),Carla Thomas,14.0,10.0,1961-01-25
"Gee, But It's Lonely",Pat Boone,9.0,31.0,1958-09-17
Georgia On My Mind,Ray Charles,13.0,1.0,1960-09-21
Geraldine,Jack Scott,1.0,96.0,1958-10-08
Gidget,Jimmy Darren,12.0,41.0,1959-04-22
Gift Of Love,Van Dykes,2.0,91.0,1961-01-11
Gilee,Sonny Spencer,4.0,82.0,1959-11-11
Ginger Bread,Frankie Avalon,11.0,9.0,1958-01-01
Ginnie Bell,Paul Dino,12.0,38.0,1961-01-18
Girl Of My Best Friend,Ral Donner,11.0,19.0,1961-04-12
Girls Girls Girls (Part II),The Coasters,2.0,96.0,1961-07-19
Give Me Your Love,Nat King Cole,4.0,82.0,1959-01-28
Give Myself A Party,Don Gibson,10.0,46.0,1958-09-24
Glad Rags,Tennessee Ernie Ford,1.0,100.0,1959-02-18
Gloria's Theme,Adam Wade,6.0,74.0,1960-11-16
Glory Of Love,The Roommates,9.0,49.0,1961-04-05
Go Chase A Moonbeam,Jerry Vale,7.0,60.0,1958-10-08
"Go, Jimmy, Go",Jimmy Clanton,16.0,5.0,1959-12-02
God Bless America,Connie Francis,11.0,36.0,1959-11-11
Going To Chicago Blues,Count Basie & His Orch.,1.0,100.0,1958-08-13
Gonzo,James Booker,11.0,43.0,1960-11-02
Good Rockin' Tonight,Pat Boone,8.0,49.0,1959-01-07
Good Time Baby,Bobby Rydell,11.0,11.0,1961-01-18
Good Timin',Jimmy Jones,15.0,3.0,1960-04-13
"Good, Good Lovin'",Chubby Checker,6.0,43.0,1961-04-12
Goodbye Baby,Jack Scott,16.0,8.0,1958-12-10
Goodbye Charlie,Patti Page,3.0,90.0,1959-10-07
"Goodbye Jimmy, Goodbye",Kathy Linden,14.0,11.0,1959-04-08
Goodnight Irene,Billy Williams,1.0,75.0,1959-04-15
Goodnight My Love (Pleasant Dreams),Ray Peterson,6.0,64.0,1959-11-11
Got A Girl,The Four Preps,10.0,24.0,1960-04-13
Got A Match?,Frank Gallup,1.0,71.0,1958-01-01
Got The Feeling,Fabian,5.0,54.0,1959-09-16
Gotta Have Rain,Eydie Gorme,7.0,63.0,1958-01-01
Gotta New Girl,Bobby Day,1.0,82.0,1959-06-17
Gotta Travel On,Billy Grammer,20.0,4.0,1958-11-19
Graduation's Here,The Fleetwoods,8.0,39.0,1959-05-13
Granada,Frank Sinatra,3.0,64.0,1961-06-28
Green Chri$tma$,Stan Freberg,2.0,44.0,1958-12-24
Green Grass Of Texas,The Texans,1.0,100.0,1961-03-22
Greenfields,The Brothers Four,20.0,2.0,1960-02-17
Groovy Tonight,Bobby Rydell,2.0,70.0,1960-11-30
Ground Hog,The Browns Featuring Jim Edward Brown,2.0,97.0,1961-04-05
Guaglione,Perez Prado And His Orchestra,9.0,53.0,1958-10-08
Guess I've Been Around Too Long,Carl Smith,1.0,93.0,1958-09-03
Guess Things Happen That Way,Johnny Cash And The Tennessee Two,7.0,21.0,1958-01-01
Guess Who,Jesse Belvin,13.0,31.0,1959-03-25
Guitar Boogie Shuffle,The Virtues,16.0,5.0,1959-03-04
Half-Breed,Marvin Rainwater,7.0,66.0,1959-07-22
Halfway To Paradise,Tony Orlando,8.0,39.0,1961-04-26
"Hallelujah, I Love Him So",Peggy Lee,2.0,77.0,1959-05-13
Handy Man,Jimmy Jones,18.0,2.0,1959-12-23
Happy Anniversary,Jane Morgan,9.0,57.0,1959-11-04
Happy Birthday Blues,Kathy Young With The Innocents,10.0,30.0,1961-02-15
Happy Days,Marv Johnson,7.0,58.0,1960-12-07
Happy Shades Of Blue,Freddie Cannon,5.0,83.0,1960-07-20
Happy Vacation,Jackie Lee,2.0,95.0,1959-06-24
Happy Years,The Diamonds,4.0,73.0,1958-01-01
Happy-Go-Lucky-Me,Paul Evans,14.0,10.0,1960-04-27
Harbor Lights,The Platters,16.0,8.0,1960-01-20
Hard Headed Woman,Elvis Presley With The Jordanaires,8.0,4.0,1958-01-01
Hardhearted Hannah,Ray Charles,4.0,55.0,1960-11-16
Harlem Nocturne,The Viscounts,16.0,52.0,1959-12-23
Harmony,Billy Bland,2.0,91.0,1960-10-05
Harvey's Got A Girl Friend,Royal Teens,2.0,78.0,1958-08-06
Hats Off To Larry,Del Shannon,12.0,6.0,1961-05-31
Have Mercy Baby,The Bobbettes,8.0,66.0,1960-10-05
Have You Ever Been Lonely (Have You Ever Been Blue),Teresa Brewer,5.0,84.0,1960-11-23
Havin' Fun,Dion,6.0,42.0,1961-02-01
Hawaiian War Chant,Billy Vaughn And His Orchestra,1.0,89.0,1959-03-25
He Will Break Your Heart,Jerry Butler,15.0,7.0,1960-10-26
He'll Have To Go,Jim Reeves,23.0,2.0,1959-12-23
He'll Have To Stay,Jeanne Black,11.0,4.0,1960-04-27
Heart And Soul,The Cleftones,9.0,18.0,1961-05-17
Heartaches By The Number,Guy Mitchell,20.0,1.0,1959-09-30
Heartbeat,Buddy Holly,4.0,82.0,1958-12-24
Heartbreak (It's Hurtin' Me),Little Willie John,12.0,38.0,1960-06-01
Hearts Of Stone,Bill Black's Combo,8.0,20.0,1961-02-15
Heavenly Lover,Teresa Brewer,8.0,40.0,1959-03-11
Hello Mary Lou,Ricky Nelson,12.0,9.0,1961-04-26
Hello Walls,Faron Young,15.0,12.0,1961-04-05
Hello Young Lovers,Paul Anka,12.0,23.0,1960-07-27
Here Comes Summer,Jerry Keller,13.0,14.0,1959-06-24
Here I Stand,Wade Flemons and the Newcomers,5.0,80.0,1958-12-17
Here's My Confession,Wyatt (Earp) McPherson,2.0,97.0,1961-05-10
Hey Girl - Hey Boy,Oscar McLollie and Jeanette Baker,5.0,61.0,1958-01-01
Hey Little Girl,Dee Clark,15.0,20.0,1959-08-19
Hey Little Lucy! (Don'tcha Put No Lipstick On),Conway Twitty,2.0,87.0,1959-05-13
Hey Little One,Dorsey Burnette,11.0,48.0,1960-06-01
Hide Away,Freddy King,10.0,29.0,1961-03-01
Hideaway,The Four Esquires,17.0,21.0,1958-09-17
High Hopes,"Frank Sinatra ""and a bunch of kids""",17.0,30.0,1959-06-10
High School Confidential,Jerry Lee Lewis And His Pumping Piano,2.0,63.0,1958-01-01
High School U.S.A.,Tommy Facenda,13.0,28.0,1959-10-14
Hither And Thither And Yon,Brook Benton,6.0,58.0,1960-04-13
Hold Back The Tears,The Delacardos,5.0,78.0,1961-05-31
Hold It,Bill Doggett,1.0,92.0,1958-11-05
Honest I Do,The Innocents,10.0,28.0,1960-08-10
Honestly And Truly,Tommy Edwards,8.0,65.0,1959-10-28
Honey Hush,Joe Turner,9.0,53.0,1959-12-23
Honey Love,Narvel Felts,2.0,90.0,1960-02-03
Honky Tonk (Part 2),Bill Doggett,10.0,57.0,1961-01-25
Honky-Tonk Girl,Johnny Cash,1.0,92.0,1960-07-20
Hoopa Hoola,Betty Johnson,5.0,56.0,1958-10-01
Hop Scotch,Santo & Johnny,2.0,90.0,1961-04-12
Hot Rod Lincoln,Charlie Ryan and the Timberline Riders,19.0,26.0,1960-05-04
Hound Dog Man,Fabian,15.0,9.0,1959-11-11
House Of Bamboo,Earl Grant,3.0,88.0,1960-03-23
How About That,Dee Clark,11.0,33.0,1959-12-02
How Deep Is The Ocean,Miss Toni Fisher,2.0,93.0,1960-04-06
How High The Moon (Part 1),Ella Fitzgerald,5.0,76.0,1960-08-10
How Many Tears,Bobby Vee,4.0,63.0,1961-05-24
How The Time Flies,Jerry Wallace,16.0,11.0,1958-08-13
How To Handle A Woman,Johnny Mathis,3.0,64.0,1960-12-21
Hully Gully Again,Little Caesar and The Romans,3.0,54.0,1961-07-19
Humdinger,Freddy Cannon,4.0,59.0,1960-10-05
Hurt,Timi Yuro,5.0,12.0,1961-07-19
Hurtin' Inside,Brook Benton,4.0,78.0,1959-02-18
Hush-Hush,Jimmy Reed,2.0,75.0,1960-10-05
Hushabye,The Mystics,15.0,20.0,1959-05-20
I Ain't Never,Webb Pierce,14.0,24.0,1959-08-05
I Believe In You,Robert & Johnny,2.0,93.0,1958-01-01
I Can't Do It By Myself,Anita Bryant,2.0,87.0,1961-05-10
I Can't Get You Out Of My Heart,Al Martino,9.0,44.0,1959-05-13
I Can't Help It,Adam Wade,7.0,64.0,1960-06-15
I Can't Say Goodbye,The Fireflies Featuring Ritchie Adams,3.0,90.0,1960-01-20
I Can't Sit Down,Marie & Rex,2.0,94.0,1959-03-04
I Count The Tears,The Drifters,11.0,17.0,1960-12-14
I Cried,Joe Damiano,3.0,91.0,1959-08-26
I Cried A Tear,LaVern Baker,21.0,6.0,1958-12-03
I Dig Girls,Bobby Rydell,6.0,46.0,1959-10-07
I Don't Know,Ruth Brown,6.0,64.0,1959-10-07
I Don't Know What It Is,The Bluenotes,9.0,61.0,1959-12-09
I Don't Mind,James Brown And The Famous Flames,8.0,47.0,1961-05-10
I Don't Need You Anymore,The Teddy Bears,1.0,98.0,1959-02-11
I Don't Want Nobody (To Have My Love But You),Ella Johnson With Buddy Johnson,3.0,78.0,1960-12-28
I Don't Want To Cry,Chuck Jackson,7.0,36.0,1961-02-15
I Don't Want To Take A Chance,Mary Wells,6.0,35.0,1961-07-12
I Dreamed Of A Hill-Billy Heaven,Tex Ritter,8.0,24.0,1961-06-28
I Fall To Pieces,Patsy Cline,14.0,16.0,1961-05-17
I Feel So Bad,Elvis Presley,9.0,5.0,1961-05-10
I Forgot More Than You'll Ever Know,Sonny James,3.0,80.0,1960-01-13
I Go Ape,Neil Sedaka,8.0,42.0,1959-03-04
I Got A Feeling,Ricky Nelson,17.0,10.0,1958-10-08
I Got A Wife,The Mark IV,12.0,24.0,1959-01-21
I Got Stripes,Johnny Cash,11.0,43.0,1959-07-29
I Got Stung,Elvis Presley,16.0,8.0,1958-10-29
I Gotta Know,Elvis Presley With The Jordanaires,11.0,20.0,1960-11-09
I Idolize You,Ike & Tina Turner,4.0,82.0,1960-12-07
I Just Don't Understand,Ann-Margret,5.0,37.0,1961-07-19
I Just Thought You'd Like To Know,Johnny Cash And The Tennessee Two,1.0,85.0,1958-12-10
I Kneel At Your Throne,Joe Medlin,4.0,85.0,1959-03-04
I Know,Perry Como,9.0,47.0,1959-06-03
I Know One,Jim Reeves,2.0,82.0,1960-07-20
I Know What God Is,Perry Como,2.0,81.0,1960-02-03
I Lied To My Heart,The Enchanters,2.0,96.0,1961-03-01
"I Like It Like That, Part 1",Chris Kenner,13.0,5.0,1961-05-24
I Looked At Heaven,Tommy Edwards,1.0,100.0,1959-08-19
I Love An Angel,Little Bill and The Bluenotes,6.0,66.0,1959-06-17
I Love The Way You Love,Marv Johnson,13.0,9.0,1960-03-02
I Love You In The Same Old Way,Paul Anka,11.0,40.0,1960-07-27
"I Loves You, Porgy",Nina Simone,15.0,18.0,1959-07-29
I Miss You So,Paul Anka,9.0,33.0,1959-03-25
I Missed Me,Jim Reeves,6.0,44.0,1960-11-09
I Must Be Dreaming,Nat King Cole,4.0,69.0,1959-05-20
I Need You Now,100 Strings and Jono (Choir of 40 Voices),1.0,98.0,1960-03-23
I Need Your Love Tonight,Elvis Presley With The Jordanaires,13.0,4.0,1959-03-25
I Need Your Lovin',Roy Hamilton,5.0,62.0,1959-04-15
I Never Felt Like This,Jack Scott,4.0,78.0,1959-04-01
I Never Knew,Clyde McPhatter,5.0,62.0,1961-07-19
I Only Have Eyes For You,The Flamingos,13.0,11.0,1959-05-27
I Pity The Fool,Bobby Bland,7.0,46.0,1961-02-15
I Really Don't Want To Know,Tommy Edwards,13.0,18.0,1960-05-18
I Remember,Maurice Williams & The Zodiacs,3.0,86.0,1961-01-11
I Shot Mr. Lee,The Bobbettes,8.0,52.0,1960-06-29
I Still Get A Thrill (Thinking Of You),Joni James,7.0,51.0,1959-04-08
I Still Get Jealous,Joni James,6.0,63.0,1959-07-08
I Talk To The Trees,Edmundo Ros and His Orchestra,4.0,77.0,1958-12-31
I Think I'm Gonna Kill Myself,Buddy Knox,6.0,55.0,1959-04-08
I Told Myself A Lie,Clyde McPhatter,5.0,70.0,1959-04-15
I Told You So,Jimmy Jones,3.0,85.0,1961-03-22
I Waited Too Long,LaVern Baker,11.0,33.0,1959-04-15
I Wake Up Crying,Chuck Jackson,1.0,95.0,1961-07-19
I Walk The Line,Jaye P. Morgan,6.0,66.0,1960-08-24
I Wanna Be Loved,Ricky Nelson,11.0,20.0,1959-11-25
I Want To Be Happy Cha Cha,Enoch Light & The Light Brigade,7.0,48.0,1958-11-26
I Want To Be Wanted,Brenda Lee,15.0,1.0,1960-09-07
I Want To Walk You Home,Fats Domino,13.0,8.0,1959-08-05
I Was Such A Fool (To Fall In Love With You),The Flamingos,5.0,71.0,1960-01-20
I Wish,The Platters,10.0,42.0,1958-09-10
I Wish I'd Never Been Born,Patti Page,7.0,52.0,1960-09-28
I Wonder Why,Dion & The Belmonts,2.0,47.0,1958-01-01
I'll Be Satisfied,Jackie Wilson,12.0,20.0,1959-06-17
I'll Be Seeing You,Tommy Sands,6.0,51.0,1960-05-04
I'll Be There,Bobby Darin,8.0,18.0,1961-06-28
I'll Get By (As Long As I Have You),Billy Williams,1.0,99.0,1958-01-01
I'll Just Have A Cup Of Coffee (Then I'll Go),Claude Gray,2.0,84.0,1961-04-05
I'll Make It All Up To You,Jerry Lee Lewis And His Pumping Piano,1.0,85.0,1958-09-03
I'll Never Be Free,Kay Starr,3.0,94.0,1961-06-14
I'll Never Fall In Love Again,Johnnie Ray,6.0,75.0,1959-09-09
I'll Never Smile Again,The Platters,4.0,34.0,1961-07-19
I'll Remember Tonight,Pat Boone,11.0,34.0,1958-10-22
I'll Sail My Ship Alone,Jerry Lee Lewis And His Pumping Piano,1.0,93.0,1959-01-14
I'll Save The Last Dance For You,Damita Jo,12.0,22.0,1960-10-19
I'll Take Care Of You,Bobby Bland,3.0,89.0,1960-01-20
I'll Wait For You,Frankie Avalon,17.0,15.0,1958-10-08
I'll Walk The Line,Don Costa And His Orchestra And Chorus,6.0,59.0,1959-11-11
I'm A Fool To Care,Oscar Black,12.0,24.0,1961-04-19
I'm A Hog For You,The Coasters,8.0,38.0,1959-09-02
I'm A Man,Fabian,10.0,31.0,1959-01-07
I'm A Telling You,Jerry Butler,5.0,25.0,1961-07-19
I'm Comin' On On Back To You,Jackie Wilson,6.0,19.0,1961-06-07
I'm Coming Home,Marv Johnson,4.0,82.0,1959-07-08
I'm Gettin' Better,Jim Reeves,10.0,37.0,1960-06-15
I'm Gonna Be A Wheel Some Day,Fats Domino,13.0,17.0,1959-07-22
I'm Gonna Change Him,Cathy Carr,4.0,63.0,1959-06-03
I'm Gonna Get Married,Lloyd Price,14.0,3.0,1959-08-05
I'm Gonna Knock On Your Door,Eddie Hodges,10.0,17.0,1961-06-14
I'm Gonna Move To The Outskirts Of Town,Ray Charles,2.0,84.0,1961-06-14
I'm Hurtin',Roy Orbison,8.0,27.0,1960-12-07
I'm In The Mood For Love,The Chimes,9.0,38.0,1961-03-22
I'm Learning About Love,Brenda Lee,4.0,33.0,1961-01-25
I'm Movin' On,Ray Charles and his Orchestra,10.0,40.0,1959-11-04
I'm Never Gonna Tell,Jimmie Rodgers,11.0,36.0,1959-02-18
I'm Not Afraid,Ricky Nelson,8.0,27.0,1960-08-31
I'm Ready,Fats Domino,11.0,16.0,1959-05-06
I'm Sorry,Brenda Lee,23.0,1.0,1960-05-25
I've Been Around,Fats Domino,9.0,33.0,1959-10-21
I've Been Loved Before,Shirley and Lee,6.0,88.0,1960-06-22
I've Been There,Tommy Edwards,10.0,53.0,1959-08-05
I've Come Of Age,Billy Storm,14.0,28.0,1959-04-08
I've Got News For You,Ray Charles,5.0,66.0,1961-06-14
I've Got You Under My Skin,Louis Prima And Keely Smith,2.0,95.0,1959-02-18
I've Had It,The Bell Notes,16.0,6.0,1959-01-21
I've Told Every Little Star,Linda Scott,14.0,3.0,1961-03-08
If,The Paragons,1.0,95.0,1961-07-12
If Dreams Came True,Pat Boone,10.0,12.0,1958-01-01
If I Can't Have You,Etta & Harvey,12.0,52.0,1960-07-27
If I Didn't Care,Connie Francis,11.0,22.0,1961-01-04
If I Give My Heart To You,Kitty Kallen,12.0,34.0,1959-09-30
If I Had A Girl,Rod Lauren,10.0,31.0,1959-12-16
If I Knew,Nat King Cole,2.0,86.0,1960-12-28
If She Should Come To You (La Montana),Anthony Newley,5.0,67.0,1960-10-05
If You Don't Want My Lovin',"Carl Dobkins, Jr.",3.0,67.0,1959-10-07
If You Love Me,LaVern Baker,2.0,79.0,1959-08-12
If You Need Me,Fats Domino,1.0,98.0,1960-02-10
Igmoo (The Pride Of South Central High),Stonewall Jackson,2.0,95.0,1959-10-14
Image Of A Girl,Safaris with The Phantom's Band,18.0,6.0,1960-06-01
In Between Tears,Lenny Miles,2.0,84.0,1961-05-03
In My Heart,The Timetones,5.0,51.0,1961-05-03
In My Little Corner Of The World,Anita Bryant,14.0,10.0,1960-07-06
In The Mood,Ernie Fields & Orch.,19.0,4.0,1959-09-16
In The Still Of The Night,Dion & The Belmonts,7.0,38.0,1960-07-13
In The Still Of The Nite,The Five Satins,5.0,81.0,1959-12-30
Intermission Riff,Bernie Lowe Orchestra,4.0,61.0,1958-11-19
Invitation To The Blues,Ray Price,1.0,92.0,1958-09-03
Irresistable You,Bobby Peterson,1.0,96.0,1960-10-26
Is A Blue Bird Blue,Conway Twitty,11.0,35.0,1960-06-08
Is It Wrong (For Loving You),Webb Pierce,3.0,69.0,1960-04-27
Is There Any Chance,Marty Robbins,12.0,31.0,1960-06-15
Is There Something On Your Mind,Jack Scott,1.0,89.0,1961-01-04
Is You Is Or Is You Ain't My Baby,Buster Brown,3.0,81.0,1960-09-14
Isn't It Amazing,The Crests featuring Johnny Mastro,1.0,100.0,1960-10-19
It Could Happen To You,Dinah Washington,6.0,53.0,1960-03-23
It Doesn't Matter Anymore,Buddy Holly,14.0,13.0,1959-02-18
It Don't Hurt No More,Nappy Brown,2.0,89.0,1958-11-05
It Happened Today,The Skyliners,8.0,59.0,1959-09-23
It Keeps Rainin',Fats Domino,10.0,23.0,1961-05-10
It Only Happened Yesterday,Jack Scott,9.0,38.0,1960-07-27
It Was I,Skip And Flip,16.0,11.0,1959-06-17
It's All In The Game,Tommy Edwards,22.0,1.0,1958-08-13
It's Gonna Work Out Fine,Ike & Tina Turner,4.0,56.0,1961-07-19
It's Just A Matter Of Time,Brook Benton,18.0,3.0,1959-01-21
It's Just About Time,Johnny Cash And The Tennessee Two,7.0,47.0,1958-12-10
It's Late,Ricky Nelson,13.0,9.0,1959-02-25
It's Not The End Of Everything,Tommy Edwards,2.0,78.0,1960-10-05
It's Now Or Never,Elvis Presley With The Jordanaires,20.0,1.0,1960-07-13
It's Only Make Believe,Conway Twitty,21.0,1.0,1958-09-10
It's Only The Beginning,The Kalin Twins,10.0,42.0,1959-01-07
It's Only The Good Times,Tommy Edwards,3.0,86.0,1959-05-27
It's Raining Outside,The Platters,2.0,93.0,1958-10-01
It's Time To Cry,Paul Anka,15.0,4.0,1959-11-18
It's Unbelievable,The Larks,3.0,69.0,1961-03-01
Itchy Twitchy Feeling,Bobby Hendricks,14.0,25.0,1958-09-17
Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,15.0,1.0,1960-06-29
Ja-Da,Johnny And The Hurricanes,2.0,86.0,1961-02-22
Jack O'Diamonds,Ruth Brown,2.0,96.0,1959-05-27
Jambalaya,Bobby Comstock And The Counts,4.0,90.0,1960-03-02
Jealous Heart,Tab Hunter,10.0,62.0,1958-10-15
Jealous Of You (Tango Della Gelosia),Connie Francis,11.0,19.0,1960-05-18
Jealousy,Kitty Wells,2.0,83.0,1958-01-01
Jennie Lee,Jan & Arnie,2.0,44.0,1958-01-01
Jenny Lou,Sonny James,6.0,67.0,1960-04-06
Jeremiah Peabody's Poly Unsaturated Quick Dissolving Fast Acting Pleasant T,Ray Stevens,1.0,90.0,1961-07-19
Jimmy Kiss And Run,Diane Maxwell,1.0,95.0,1959-03-18
Jimmy Martinez,Marty Robbins,5.0,51.0,1961-05-24
Jimmy's Girl,Johnny Tillotson,11.0,25.0,1961-01-04
Jingle Bell Rock,Bobby Helms,7.0,35.0,1958-12-17
Jo-Jo The Dog-Faced Boy,Annette,4.0,73.0,1959-04-08
Joanie,Frankie Calen,6.0,78.0,1961-06-07
Joe Joe Gunne,Chuck Berry,5.0,83.0,1958-11-12
Joey's Song,Bill Haley And His Comets,12.0,46.0,1959-09-30
Johnny B. Goode,Chuck Berry,1.0,80.0,1958-01-01
Johnny Freedom,Johnny Horton,4.0,69.0,1960-06-29
Johnny Reb,Johnny Horton,8.0,54.0,1959-08-19
Josephine,Bill Black's Combo,10.0,18.0,1960-06-22
Journey Of Love,The Crests featuring Johnny Mastro,4.0,81.0,1960-09-07
Judy,Frankie Vaughan,1.0,86.0,1958-01-01
Jump Over,Freddy Cannon,10.0,28.0,1960-05-04
Jupiter-C,Pat and the Satellites,4.0,81.0,1959-02-04
Jura (I Swear I Love You),Les Paul And Mary Ford,10.0,37.0,1961-04-19
Just A Closer Walk With Thee,Jimmie Rodgers,9.0,44.0,1960-04-06
Just A Dream,Jimmy Clanton And His Rockets,15.0,4.0,1958-01-01
Just A Little,Brenda Lee,5.0,40.0,1960-09-28
Just A Little Bit,Rosco Gordon,7.0,64.0,1960-02-10
Just A Little Too Much,Ricky Nelson,13.0,9.0,1959-06-24
Just As Much As Ever,Bob Beckham,21.0,32.0,1959-08-05
Just Ask Your Heart,Frankie Avalon,16.0,7.0,1959-08-26
Just Call Me (And I'll Understand),Lloyd Price and His Orchestra,4.0,79.0,1960-09-07
Just Come Home,Hugo & Luigi,9.0,35.0,1959-12-09
Just For Old Time's Sake,The McGuire Sisters,14.0,20.0,1961-03-08
Just Give Me A Ring,Clyde McPhatter,2.0,96.0,1960-02-24
Just Keep It Up,Dee Clark,15.0,18.0,1959-04-29
Just Like In The Movies,The Upbeats,3.0,75.0,1958-01-01
Just Married,Marty Robbins,1.0,76.0,1958-08-06
Just One Time,Don Gibson,11.0,29.0,1960-03-02
Just To Be With You,The Passions,10.0,69.0,1959-09-30
Just Young,Paul Anka,7.0,69.0,1958-10-01
Kansas City,Wilbert Harrison,16.0,1.0,1959-04-08
Kansas City (Hey-Hey-Hey-Hey),Little Richard,2.0,95.0,1959-05-06
Kathy-O,The Diamonds,7.0,45.0,1958-01-01
Katy Too,Johnny Cash And The Tennessee Two,8.0,66.0,1959-07-08
Keep On Dancing,Hank Ballard And The Midnighters,1.0,97.0,1961-07-19
Keep Your Hands Off Of Him,Damita Jo,5.0,75.0,1961-02-01
Kiddio,Brook Benton,17.0,7.0,1960-08-03
Kissin Game,Dion,3.0,82.0,1961-04-26
Kissin' And Twistin',Fabian,2.0,91.0,1960-10-26
Kissin' Time,Bobby Rydell,17.0,11.0,1959-06-24
Kokomo,The Flamingos,3.0,92.0,1961-03-08
Kommotion,Duane Eddy,6.0,78.0,1960-08-17
Kookie Little Paradise,The Tree Swingers,6.0,73.0,1960-08-10
"Kookie, Kookie (Lend Me Your Comb)",Edward Byrnes & Connie Stevens,13.0,4.0,1959-04-15
La Bamba,Ritchie Valens,15.0,22.0,1958-12-24
La Dolce Vita (The Sweet Life),Ray Ellis And His Orchestra,3.0,85.0,1961-06-28
La Montana (If She Should Come To You),Frank DeVol And His Rainbow Strings,6.0,77.0,1960-06-01
La Pachanga,Audrey Arno And The Hazy Osterwald Sextet,2.0,87.0,1961-04-05
La Paloma,Billy Vaughn And His Orchestra,10.0,26.0,1958-08-06
La Plume De Ma Tante,Hugo & Luigi,5.0,86.0,1959-06-03
